,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTimes90DaysLate,age,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
43322,0,0,52,0,1.0,0
90701,0,0,61,0,0.0,0
10801,1,0,54,0,0.0,1
107307,0,0,28,0,1.0,0
71812,0,0,44,0,4.0,1
18703,1,0,67,0,0.0,0
77120,0,0,84,0,0.0,0
62322,0,0,64,0,0.0,0
63838,1,0,27,0,1.0,1
78709,1,0,36,0,3.0,0
146254,0,0,79,0,0.0,0
33841,0,0,65,0,0.0,0
131346,0,0,45,0,0.0,0
53916,0,0,46,0,2.0,0
147006,0,0,36,0,1.0,0
48980,0,0,68,0,0.0,0
94770,0,0,46,0,3.0,0
19436,0,0,62,0,0.0,0
121480,0,0,30,2,0.0,0
124265,0,0,60,0,0.0,0
143801,0,0,37,0,2.0,0
58699,0,0,78,0,0.0,0
31513,0,0,68,0,2.0,0
77283,0,0,37,0,1.0,0
125320,1,0,53,0,4.0,0
44536,0,0,47,0,2.0,0
78065,0,0,59,0,0.0,0
52296,0,0,67,0,0.0,0
23110,0,0,57,0,0.0,0
136700,1,0,73,0,0.0,0
137994,2,0,59,0,0.0,0
90183,0,0,55,0,2.0,0
89518,0,0,80,0,0.0,0
116078,0,0,41,0,2.0,0
45533,0,0,39,0,2.0,0
146195,0,0,39,0,3.0,0
138825,5,2,36,2,2.0,1
132250,0,1,25,0,0.0,1
123542,0,0,93,0,0.0,0
69168,0,0,41,0,0.0,0
89500,0,0,27,0,0.0,0
148030,0,0,69,0,0.0,0
36344,0,0,67,0,0.0,0
26458,0,0,36,0,0.0,0
23084,0,0,32,0,1.0,0
84702,0,0,76,0,2.0,0
66977,1,0,61,1,0.0,0
66413,0,0,72,0,1.0,0
41764,0,0,26,0,0.0,0
121397,0,0,41,0,0.0,0
66665,0,0,35,0,0.0,0
28833,0,0,53,0,0.0,0
128765,0,0,64,0,0.0,0
102616,0,0,55,0,0.0,0
109369,0,0,61,0,0.0,1
62892,0,0,49,0,1.0,0
17304,0,0,39,0,0.0,0
48956,0,0,62,0,0.0,0
125173,0,0,30,0,3.0,1
24832,0,0,63,0,1.0,0
141236,0,0,58,0,1.0,0
115967,0,0,62,0,1.0,0
95965,0,0,27,0,0.0,0
44574,0,0,52,0,0.0,0
77777,5,0,62,1,0.0,0
110204,0,0,51,0,0.0,0
95453,1,0,39,0,1.0,0
132238,1,0,45,0,3.0,0
45093,0,0,72,0,1.0,0
88896,3,0,41,0,0.0,0
60869,0,0,41,0,1.0,0
90770,0,0,52,0,2.0,0
31611,0,0,26,0,2.0,0
111566,0,0,47,0,1.0,0
65519,0,0,31,0,2.0,0
24921,0,0,39,0,0.0,0
14387,0,0,44,0,2.0,0
35923,0,0,22,0,0.0,1
83349,3,0,52,0,0.0,0
109292,0,0,56,0,1.0,0
99448,0,0,44,0,4.0,0
8239,0,0,60,0,0.0,0
102561,0,0,71,0,0.0,0
102789,0,0,54,0,0.0,0
37954,0,0,54,0,2.0,0
107623,0,0,41,0,3.0,0
72469,0,0,31,0,0.0,0
149019,0,0,66,0,0.0,0
117382,0,1,32,0,0.0,1
23178,0,0,59,0,1.0,0
94862,0,0,47,0,3.0,1
109778,0,0,58,0,1.0,0
141672,0,0,69,0,0.0,0
99032,0,0,57,0,0.0,0
92149,0,0,51,0,2.0,0
122260,0,0,61,0,0.0,0
137400,0,0,45,0,3.0,0
89496,0,0,49,0,4.0,0
11047,0,0,29,0,0.0,0
99473,0,0,35,0,0.0,1
