trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-49.840282685995454,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-129.4123136082374,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-174.7643765808201,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-71.39432126964124,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-167.40868683299377,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-152.08080054547844,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-90.91548804196309,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-143.26440380548382,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-116.11112634882475,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-204.52402732621232,"{0: 7, 1: 2, 2: 8, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-105.46188614253917,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-131.5997521299119,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-150.1352135023699,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-181.1421474661409,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-144.85164729015324,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-200.38999433560124,"{0: 14, 1: 0, 2: 14, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-123.85948147665498,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-278.85143758609274,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-251.96971319537687,"{0: 6, 1: 0, 2: 10, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-184.25399690022172,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,0,-205.7790246481048,"{0: 10, 1: 0, 2: 13, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-239.21525467178154,"{0: 12, 1: 0, 2: 9, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",25,0,-209.7888950221907,"{0: 10, 1: 0, 2: 13, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-271.51875559037546,"{0: 9, 1: 0, 2: 12, 3: 0, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",30,0,-222.3551572794525,"{0: 13, 1: 0, 2: 15, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-151.11897478209312,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-84.8154021226412,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-221.60552015439364,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",20,0,-210.81140406930598,"{0: 7, 1: 0, 2: 10, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,0,-190.9837633571771,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
