trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",30,0,-228.88855031725794,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.999}",20,1,-86.28822820048802,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.9985}",20,0,-39.58006564382827,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.998}",20,0,-39.13941049427258,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9975}",20,0,-262.20776997399844,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.997}",25,0,-224.10236614638356,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9965}",25,0,-153.48875974963144,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.996}",25,0,-139.6234730763961,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9955}",25,0,-77.21067643531485,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.995}",30,0,-120.22234422828394,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9945}",20,0,-137.30394667978578,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.994}",30,0,-129.81132803276785,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9935}",30,0,-227.19262480210685,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.993}",30,0,-127.57218685605042,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9925}",25,0,-125.00550142845385,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.992}",20,0,-132.33013537960744,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9915}",25,0,-233.21090680722222,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.991}",30,19,-9.378642993921865,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9905}",20,0,-69.40664958539237,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.99}",20,0,-60.81392920293206,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9895}",35,11,-199.73147747251502,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 4}",1
22,False,"{'a': 0.5, 'e': 0.989}",25,0,-173.26328545854275,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.9885}",20,0,-108.46939050852806,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.988}",20,0,-105.78138811753897,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9875}",20,0,-117.32551049204213,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.987}",20,0,-36.70772604927708,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9865}",25,7,-32.664379883749795,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.986}",20,0,-30.67598595383873,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9855}",20,0,-136.07303771653955,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.985}",20,0,-123.37860300113827,"{0: 7, 1: 6, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9845}",25,4,-120.53821116646827,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.984}",20,8,-117.66818071778502,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.9835}",25,0,-206.7411627637621,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
34,False,"{'a': 0.5, 'e': 0.983}",30,0,-210.86646582017104,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
35,False,"{'a': 0.5, 'e': 0.9825}",25,7,-123.69996881214085,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.982}",20,6,-12.909864827848878,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.9815}",20,0,-167.92732883524783,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.981}",25,0,-69.17718103682544,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9805}",25,0,-129.21073919418484,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.98}",25,0,-109.02179113701425,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9795}",30,0,-138.5354687325372,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.979}",25,0,-130.2535688772719,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9785}",20,0,-30.375901171700068,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.978}",25,0,-156.32921507001734,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9775}",30,0,-131.2999207753299,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.977}",20,0,-4.254188016054183,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9765}",25,0,-72.77948270485798,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.976}",25,0,-121.21343595318038,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9755}",20,0,-80.82714459340136,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.975}",20,0,-64.50278835678992,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9745}",30,14,-22.241726540815147,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.974}",20,0,-94.37576686746337,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9735}",30,16,-62.99934809208459,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.973}",20,0,-187.5292177651537,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.9725}",20,0,-119.68366960152572,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.972}",20,0,-129.38398001489932,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9715}",20,0,-37.5592602675066,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.971}",20,0,-42.88632549728097,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9705}",25,0,-93.72263132638084,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.97}",20,0,-101.63456521187285,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9695}",20,0,-138.10724071748533,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.969}",20,14,10.827565408270237,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.9685}",30,0,-167.5176492774492,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.968}",25,0,-61.7305589234422,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9675}",20,0,-160.7321722333668,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.967}",30,0,-200.00669652889516,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
67,False,"{'a': 0.5, 'e': 0.9665}",25,0,-53.35842515537837,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.966}",25,14,-26.697294396264876,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.9655}",20,0,-62.01239076735912,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.965}",25,0,-148.28443303745254,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9645}",20,5,-56.44649588861486,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.964}",25,0,-129.59904607664973,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",1
73,False,"{'a': 0.5, 'e': 0.9635}",25,0,-55.989369277920126,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.963}",20,0,-91.24498783205321,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9625}",30,0,-148.32112960611477,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.962}",20,0,-96.74843682480714,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9615}",30,0,-163.77104485149073,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.961}",25,0,-54.78377645378886,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9605}",20,0,-81.7136979193948,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.96}",30,0,-110.9704247863553,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.9595}",20,0,-154.36470260363626,"{0: 6, 1: 4, 2: 8, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.959}",20,0,-26.881777583412976,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.9585}",35,0,-166.7655667438439,"{0: 22, 1: 5, 2: 5, 3: 0, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.958}",25,0,-96.02632397632374,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9575}",25,0,-251.4231186541238,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 6}",0
86,False,"{'a': 0.5, 'e': 0.957}",25,0,-62.37915095961299,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9565}",20,0,-59.30650808943922,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.956}",20,0,-201.85322056955874,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 5}",0
89,False,"{'a': 0.5, 'e': 0.9555}",20,0,-97.25984148475283,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.955}",20,0,-95.29615099873413,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.9545}",25,0,-159.19169979005414,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.954}",20,0,-103.76496899234377,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
