trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-157.5319431150027,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-63.3883084750343,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-120.62512035327188,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-224.50269869671737,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-34.64394768747943,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-143.4460954182195,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-117.08027467819393,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-71.75470881434231,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-152.73874461094402,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,4,13.794572989343074,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-59.92627097987423,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,3,-108.41601329481642,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-106.55217896882176,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-116.71627528925484,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,15,-44.63807660502688,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,18,-23.053472676213378,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-160.48267107776252,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-83.75177929286959,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-130.61725583763808,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-111.88341301007654,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-57.283452893703775,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-123.47220940681625,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,5,-114.69325296380374,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,-152.97952342728024,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-175.09443160170224,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",30,0,-161.41698402537654,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-152.9288142701158,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-116.44182976978772,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-154.71570077085218,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-37.29038187818926,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
